Gene,P.Value,Log FC
UHMK1,6.44e-02,1.65e-01
ERCC1,6.47e-02,2.61e-01
RNF168,5.98e-02,2.04e-01
LOC100508384,7.69e-02,-3.94e-01
CPN2,9.76e-02,-1.87e-01
C8orf83,5.93e-02,2.04e-01
STAC2,2.38e-01,-7.36e-01
KRT6B,5.67e-02,-1.65e-01
DRGX,1.42e-01,-3.02e-01
B3GNT9,7.85e-02,-3.18e-01
RAMP3,1.12e-01,2.99e-01
SPRR2G,5.92e-02,-1.44e-01
CLIC4,1.46e-01,6.70e-01
CLTC,6.07e-02,2.28e-01
PLD1,1.27e-01,-5.04e-01
FBLN5,1.52e-01,3.15e-01
CYP2B6,2.64e-01,2.85e-01
TRPV4,7.35e-02,-2.43e-01
STK17B,8.88e-02,-1.67e-01
TLX2,7.79e-02,-3.68e-01
PLCB4,1.16e-01,-2.43e-01
EHD1,8.67e-02,-4.27e-01
CYP2W1,1.92e-01,-9.68e-01
KCNH5,7.74e-02,-2.54e-01
SMYD1,8.21e-02,-2.70e-01
SYPL2,7.48e-02,-3.25e-01
SLC14A1,9.86e-02,6.63e-01
CHRNB2,2.36e-01,-6.38e-01
MTM1,6.75e-02,2.04e-01
TRO,7.23e-02,-3.59e-01
ZC3HC1,7.25e-02,2.42e-01
C8orf68,6.77e-02,-1.26e-01
RPL29,8.40e-02,3.57e-01
ZDHHC11,1.16e-01,-6.16e-01
SERPINB10,6.97e-02,-2.48e-01
ANKK1,6.15e-02,-1.90e-01
ZDBF2,1.52e-01,4.09e-01
SPTB,1.33e-01,-3.17e-01
C13orf15,9.31e-02,-5.98e-01
METTL21B,6.96e-02,1.98e-01
ALPL,6.91e-02,-3.23e-01
PTPN5,1.72e-01,-4.31e-01
FGF3,1.61e-01,-4.45e-01
LOC100131354,6.28e-02,-2.38e-01
VKORC1L1,8.80e-02,-2.25e-01
CYB5A,1.88e-01,2.50e-01
SYT13,2.69e-01,-9.23e-01
OMA1,1.26e-01,4.43e-01
FTHL17,8.58e-02,-4.47e-01
LIN7B,1.04e-01,-6.35e-01
ERCC1,7.21e-02,2.32e-01
DSTNP2,5.73e-02,1.65e-01
TOP1,7.26e-02,2.45e-01
COQ6,6.26e-02,-1.83e-01
LOC100129223,6.09e-02,-1.35e-01
PLA2G2C,9.09e-02,3.77e-01
GOLGB1,6.53e-02,2.09e-01
LOC100130430,1.17e-01,-3.21e-01
EIF2S1,8.24e-02,-3.27e-01
TCEA2,1.06e-01,-6.32e-01
SSH2,7.37e-02,3.70e-01
C10orf112,8.98e-02,-3.91e-01
RBAK-LOC389458,7.20e-02,-2.82e-01
SOX8,1.82e-01,-7.66e-01
LOC645586,8.21e-02,-4.22e-01
FHL2,1.95e-01,-7.73e-01
FAM49A,1.10e-01,5.80e-01
LOC100129763,5.90e-02,-1.91e-01
NSMCE4A,6.88e-02,-2.89e-01
FSTL4,8.52e-02,-2.81e-01
TNKS1BP1,6.78e-02,2.22e-01
GNG4,9.57e-02,-2.79e-01
CCDC60,6.33e-02,-2.38e-01
GPHN,9.95e-02,-4.30e-01
C6orf72,6.97e-02,-3.00e-01
TATDN1,6.78e-02,-2.67e-01
HELZ,8.27e-02,2.60e-01
RSPH3,9.31e-02,3.89e-01
RASL11A,9.46e-02,-4.29e-01
CCNB3,1.00e-01,-5.26e-01
FLRT3,1.53e-01,-5.14e-01
POLR2F,6.14e-02,-1.99e-01
ZBTB46,9.59e-02,3.04e-01
IRAK1BP1,5.78e-02,1.66e-01
TOR3A,8.16e-02,1.94e-01
GSTA4,9.67e-02,-4.92e-01
PGAM4,1.15e-01,-5.01e-01
FAM135A,6.25e-02,2.27e-01
LEAP2,2.82e-01,-3.32e-01
CACNA2D3,1.15e-01,-5.19e-01
OCEL1,7.65e-02,-2.91e-01
ANKRD56,6.00e-02,-1.83e-01
TTN,1.20e-01,7.17e-01
PDE4DIP,8.98e-02,3.88e-01
SUZ12P,1.43e-01,-5.77e-01
ARL4D,1.37e-01,-7.07e-01
CCR6,6.95e-02,-3.15e-01
WDR67,5.57e-02,-1.31e-01
PPFIA4,2.33e-01,-5.23e-01
RAP1GDS1,8.50e-02,-4.54e-01
CECR5,9.41e-02,-2.33e-01
DEFB129,6.23e-02,-1.44e-01
FGF21,5.77e-02,-1.47e-01
SERPINA5,9.37e-02,4.29e-01
IRAK2,9.43e-02,-4.54e-01
HIF1AN,5.68e-02,-1.47e-01
ZNF521,1.22e-01,2.62e-01
LRP2,1.21e-01,-5.48e-01
SOX13,7.87e-02,-4.01e-01
FMNL3,1.30e-01,4.37e-01
L2HGDH,1.06e-01,-6.23e-01
EXOC6B,1.09e-01,-4.32e-01
OR2A42,6.15e-02,1.43e-01
SDC3,6.15e-02,-1.87e-01
MIOX,5.83e-02,1.58e-01
PTCH1,8.76e-02,-2.76e-01
NFKBIA,1.15e-01,7.67e-01
CDK2AP2,7.82e-02,4.00e-01
SYT12,1.97e-01,-6.68e-01
ILDR1,8.74e-02,-4.93e-01
GTF3C1,6.12e-02,-1.87e-01
CYP3A4,2.79e-01,-3.59e-01
GNRHR,6.43e-02,-1.27e-01
PPP4R4,2.01e-01,-3.62e-01
ZNF671,6.94e-02,2.12e-01
RSL24D1,1.08e-01,4.19e-01
TPRG1L,1.37e-01,-5.96e-01
SLC27A3,8.15e-02,2.82e-01
LOC283710,6.39e-02,2.38e-01
CLEC5A,6.86e-02,2.43e-01
TRUB1,9.49e-02,-3.85e-01
FAM134A,8.94e-02,-5.00e-01
GZF1,6.47e-02,2.31e-01
FAM125A,7.39e-02,-2.11e-01
SRSF2,8.63e-02,-3.88e-01
MAD1L1,6.37e-02,-2.36e-01
CEP57,9.46e-02,2.19e-01
CTAGE11P,8.15e-02,2.07e-01
KDM4B,9.60e-02,-3.87e-01
NCAPH2,6.49e-02,-2.56e-01
MEOX2,1.03e-01,-2.02e-01
CLSTN3,2.77e-01,-6.38e-01
REEP1,1.86e-01,-5.17e-01
LY6H,1.85e-01,8.07e-01
WNT16,8.04e-02,-2.03e-01
CD274,7.74e-02,1.64e-01
MS4A8B,6.41e-02,-1.47e-01
LOC286370,5.64e-02,-1.09e-01
TRIM59,1.98e-01,-1.15
GUSBP1,1.01e-01,-6.03e-01
PLB1,5.65e-02,-1.31e-01
SCN1A,1.92e-01,5.26e-01
LOC283174,1.26e-01,9.18e-01
RALYL,1.68e-01,-5.60e-01
LOC644852,7.03e-02,-2.45e-01
KITLG,1.14e-01,6.47e-01
ASCC2,6.98e-02,2.04e-01
IGSF1,9.61e-02,-4.98e-01
LOC100132111,6.24e-02,-2.00e-01
THY1,2.72e-01,-6.92e-01
MADD,1.02e-01,-4.43e-01
C14orf2,1.70e-01,-6.34e-01
NTSR2,7.72e-02,3.86e-01
YWHAG,1.63e-01,-6.46e-01
LAT2,8.87e-02,-4.95e-01
JPH1,2.30e-01,-5.10e-01
SCYL2,5.71e-02,1.33e-01
DCHS2,6.31e-02,-1.53e-01
DOC2A,1.59e-01,-7.51e-01
FAM168A,6.17e-02,-2.10e-01
CRELD1,7.54e-02,-2.70e-01
MALAT1,1.12e-01,6.64e-01
SMAP2,8.21e-02,4.27e-01
POLDIP3,1.07e-01,4.61e-01
BET1L,9.69e-02,-6.11e-01
PYCRL,8.50e-02,-3.53e-01
GLYAT,1.91e-01,-2.55e-01
USP45,1.25e-01,2.19e-01
TOR2A,6.99e-02,-2.41e-01
DOCK5,2.26e-01,-5.34e-01
HAO2,2.27e-01,-3.08e-01
TSGA10,1.02e-01,-4.23e-01
ALAS2,1.77e-01,-3.35e-01
MYO5B,9.92e-02,3.05e-01
LOC400965,6.09e-02,-1.90e-01
MSTO1,8.57e-02,-4.16e-01
AMMECR1,6.13e-02,2.01e-01
KIAA1161,9.45e-02,4.03e-01
PRDM10,8.00e-02,2.26e-01
ST8SIA5,1.05e-01,5.43e-01
LOC386597,7.11e-02,2.62e-01
DSC1,6.24e-02,-1.33e-01
GFOD2,2.09e-01,-3.58e-01
BHLHE22,2.29e-01,-4.97e-01
CORO6,1.17e-01,-4.68e-01
HS6ST3,2.31e-01,-5.94e-01
TCEANC,7.46e-02,2.83e-01
ZNF503,1.90e-01,3.47e-01
NBPF10,1.41e-01,5.62e-01
PYGM,9.29e-02,-5.51e-01
MAGI2,1.13e-01,-5.10e-01
FLJ43390,9.76e-02,-2.50e-01
SOX5,6.78e-02,2.77e-01
KIF21A,6.53e-02,2.46e-01
ST8SIA3,2.87e-01,-6.78e-01
SBK1,2.08e-01,-4.21e-01
ART3,8.26e-02,4.39e-01
LOC100132800,5.77e-02,-1.13e-01
CYB561,1.69e-01,4.52e-01
NHEJ1,6.23e-02,2.11e-01
EMILIN2,1.36e-01,8.10e-01
SNTB1,7.89e-02,3.77e-01
HEATR7B2,5.75e-02,-1.23e-01
PSCA,9.95e-02,-5.83e-01
AKAP9,1.06e-01,-2.30e-01
FAM132B,7.70e-02,-3.22e-01
C22orf13,6.69e-02,2.64e-01
LOC388948,6.19e-02,1.97e-01
SLC30A3,2.33e-01,-9.34e-01
DDX39A,9.18e-02,4.17e-01
LCORL,9.27e-02,2.00e-01
C10orf58,1.13e-01,3.39e-01
TSPYL2,1.41e-01,-3.85e-01
RNU11,6.84e-02,-2.83e-01
CD3D,2.42e-01,3.71e-01
KBTBD6,1.01e-01,-3.63e-01
NCS1,2.24e-01,-5.80e-01
LINC00115,1.04e-01,-4.65e-01
CREG2,2.57e-01,-8.65e-01
IGFL2,6.83e-02,-2.78e-01
CHRNA4,1.08e-01,-3.86e-01
ATP5A1,1.41e-01,-4.87e-01
ADRM1,8.11e-02,-1.93e-01
FAM180A,5.80e-02,-1.29e-01
SERPINA6,2.86e-01,-2.45e-01
DRD5,6.99e-02,-2.03e-01
DKFZP547J0410,1.42e-01,4.94e-01
AKD1,7.47e-02,3.33e-01
KANK1,8.16e-02,-3.48e-01
NDUFAF1,8.33e-02,-2.81e-01
MRAP2,2.06e-01,-8.86e-01
MUC5B,8.99e-02,3.10e-01
EP300,6.86e-02,2.68e-01
NDUFAB1,1.49e-01,-4.00e-01
ARID3C,7.44e-02,-3.36e-01
ANKRD26,6.38e-02,1.92e-01
CAMSAP3,9.54e-02,-4.47e-01
CHP,7.87e-02,-2.21e-01
LGMN,8.91e-02,2.90e-01
KIAA0040,9.19e-02,4.92e-01
GALNTL5,1.08e-01,-7.18e-01
UBE2R2,9.14e-02,-2.75e-01
PHF3,7.53e-02,3.40e-01
RAD9B,6.74e-02,-1.68e-01
ARL6IP1,1.05e-01,4.42e-01
HSD17B12,6.65e-02,-2.15e-01
ZNF720,6.14e-02,-1.21e-01
TSEN2,7.53e-02,-2.74e-01
RALYL,1.86e-01,-5.78e-01
GUCA1A,6.57e-02,-1.52e-01
MICAL1,1.05e-01,4.74e-01
IL1RN,2.94e-01,3.07e-01
AIFM2,8.28e-02,-2.71e-01
FAM65C,9.92e-02,5.25e-01
LOC729860,1.35e-01,-4.38e-01
ENTPD1,1.09e-01,2.72e-01
LOC643962,6.50e-02,-1.57e-01
LRRC38,8.63e-02,-2.51e-01
VPS16,7.63e-02,-2.78e-01
ARL4A,7.88e-02,2.58e-01
TNNT1,2.05e-01,-4.93e-01
WDFY4,9.04e-02,1.66e-01
GRIN2B,1.57e-01,-3.86e-01
GABBR1,1.52e-01,-5.81e-01
SIK3,1.43e-01,-5.23e-01
MYOC,2.28e-01,-2.74e-01
ST3GAL2,1.30e-01,-2.89e-01
SPTSSA,8.47e-02,3.48e-01
SLC10A1,2.05e-01,-3.39e-01
RASSF2,6.92e-02,-2.82e-01
PRODH,1.02e-01,3.89e-01
TTC39C,2.31e-01,4.34e-01
CEP128,9.24e-02,2.02e-01
KLF6,6.37e-02,1.58e-01
CLTB,1.13e-01,-6.19e-01
IARS,7.34e-02,2.36e-01
CHRM3,1.90e-01,-1.04
MSL3,7.82e-02,2.80e-01
RPSA,7.05e-02,1.86e-01
DNAJB6,9.03e-02,-3.30e-01
ZNF337,6.84e-02,2.49e-01
PDGFRB,1.01e-01,2.67e-01
ITFG3,7.10e-02,-2.91e-01
AAK1,8.87e-02,2.49e-01
RN28S1,1.15e-01,-4.93e-01
C21orf15,8.18e-02,-1.38e-01
PPTC7,6.42e-02,2.10e-01
SH2D2A,7.19e-02,-2.12e-01
MYSM1,7.72e-02,2.67e-01
SLC27A5,1.78e-01,-2.86e-01
ANKRD42,7.54e-02,2.61e-01
SLC6A9,8.45e-02,-3.72e-01
C20orf177,7.67e-02,-3.51e-01
HOMER3,1.16e-01,-3.03e-01
KIAA1841,7.31e-02,-2.59e-01
SMC6,7.57e-02,3.09e-01
LOC285300,6.33e-02,1.58e-01
CYCS,1.51e-01,-5.89e-01
ADCK4,6.59e-02,-2.36e-01
MRPL18,7.40e-02,3.05e-01
FOXH1,6.56e-02,1.93e-01
BUB3,7.51e-02,2.72e-01
C7orf46,1.44e-01,-8.48e-01
AMN1,8.31e-02,-4.10e-01
NMS,6.22e-02,1.30e-01
OSM,5.84e-02,1.08e-01
RMI2,1.36e-01,-4.71e-01
FSD1L,9.38e-02,3.10e-01
CST7,8.80e-02,2.62e-01
TTC39B,8.82e-02,1.70e-01
LINC00442,6.72e-02,-1.76e-01
C18orf21,6.47e-02,2.16e-01
RHCE,7.45e-02,-3.19e-01
SUV420H1,9.00e-02,1.57e-01
TNXB,1.95e-01,4.11e-01
PGM5,8.18e-02,2.32e-01
SNED1,7.36e-02,3.18e-01
RNPC3,7.92e-02,2.91e-01
RAC1,7.48e-02,-3.21e-01
LOC100509091,8.91e-02,-2.51e-01
SELENBP1,7.91e-02,3.63e-01
ATG4C,1.16e-01,-5.69e-01
UPRT,5.82e-02,1.20e-01
SCRT1,1.80e-01,-6.51e-01
TWF1,7.92e-02,3.23e-01
GAPT,7.34e-02,2.72e-01
TAF9B,7.93e-02,-3.23e-01
MYBPC1,6.73e-02,-1.48e-01
LOC728978,8.25e-02,2.37e-01
ANKRD13A,1.17e-01,-3.83e-01
LRCH1,1.02e-01,2.08e-01
WDR92,9.04e-02,-2.83e-01
WIBG,6.62e-02,2.13e-01
MUCL1,6.48e-02,-1.78e-01
SMG1,1.06e-01,4.20e-01
SLC45A4,7.68e-02,3.04e-01
LINC00087,6.69e-02,2.11e-01
ATP6V1C2,6.66e-02,2.18e-01
COQ5,6.99e-02,-1.74e-01
FSIP2,7.76e-02,-3.06e-01
LOC646999,8.18e-02,-3.64e-01
CPS1,3.01e-01,2.65e-01
TUBA3D,6.95e-02,-2.69e-01
SEL1L,6.74e-02,2.36e-01
ODF3B,6.17e-02,1.39e-01
ZNF654,7.27e-02,1.94e-01
ADCY3,8.42e-02,-3.89e-01
MMAA,6.77e-02,1.59e-01
RTP4,7.95e-02,3.69e-01
ZMAT5,7.23e-02,2.34e-01
SMCR7L,7.37e-02,1.56e-01
HSPA6,1.24e-01,2.83e-01
PGR,6.63e-02,2.24e-01
SIDT1,1.15e-01,-3.61e-01
ABCC6,8.27e-02,2.08e-01
C12orf68,7.63e-02,-2.62e-01
KIAA1324,9.34e-02,-3.30e-01
CNPY4,9.47e-02,2.19e-01
OR2C3,7.42e-02,-1.72e-01
APTX,7.55e-02,-2.96e-01
FLVCR1,7.01e-02,-1.97e-01
SNORD17,1.45e-01,1.10
C21orf128,7.25e-02,-2.34e-01
LOC100131138,1.17e-01,2.74e-01
CTCFL,6.36e-02,-1.25e-01
CLEC4A,7.75e-02,3.13e-01
GSTA5,2.99e-01,-2.56e-01
CYB5R4,6.99e-02,2.51e-01
KRTAP8-1,6.10e-02,-1.14e-01
ST6GAL2,1.12e-01,-6.57e-01
PRPF38B,9.04e-02,3.41e-01
PLEKHB2,9.31e-02,-4.27e-01
AKAP4,6.43e-02,1.38e-01
KLF11,8.49e-02,2.53e-01
PIP5K1C,1.33e-01,-4.78e-01
NCOA2,6.00e-02,1.35e-01
TAGLN3,2.47e-01,-6.98e-01
ACTA1,1.15e-01,-3.45e-01
SUMF1,9.27e-02,3.20e-01
LOC439911,9.73e-02,-3.56e-01
TRIM2,1.39e-01,-6.13e-01
ZFYVE26,9.34e-02,4.28e-01
MTF2,1.03e-01,2.31e-01
EPHX4,1.78e-01,-7.42e-01
TMEM25,2.00e-01,-4.82e-01
KIF18B,5.93e-02,-1.24e-01
PRO2852,8.67e-02,4.38e-01
ZNF789,9.28e-02,-3.13e-01
SUMO2,7.70e-02,2.57e-01
PTAR1,7.32e-02,1.71e-01
PTGS1,9.84e-02,3.48e-01
TMEM64,9.86e-02,-3.99e-01
CCNL1,1.62e-01,5.75e-01
SHROOM4,8.53e-02,-4.05e-01
PRIC285,1.03e-01,5.28e-01
NOD2,1.21e-01,2.99e-01
LMOD3,7.20e-02,-1.80e-01
KCND2,3.00e-01,-3.61e-01
UIMC1,6.88e-02,2.50e-01
NANOG,9.62e-02,-4.77e-01
MARK4,6.20e-02,-1.59e-01
FDPS,1.10e-01,-2.41e-01
PPP1R35,7.73e-02,-2.51e-01
POP1,8.46e-02,1.72e-01
TBX15,1.10e-01,-3.03e-01
JSRP1,8.87e-02,3.32e-01
HIST1H4C,1.56e-01,5.34e-01
AHI1,7.91e-02,2.47e-01
TOB1,1.67e-01,6.75e-01
MGST3,1.27e-01,-2.55e-01
RAP1B,7.27e-02,2.84e-01
VHL,8.53e-02,-4.00e-01
FLJ25758,6.93e-02,-1.30e-01
AKAP14,6.80e-02,-1.39e-01
CACNB3,2.10e-01,-6.04e-01
GSTA4,1.15e-01,-5.14e-01
NAAA,1.13e-01,2.07e-01
ZNRD1,8.27e-02,2.66e-01
RNF145,6.12e-02,1.33e-01
ZDHHC8,1.68e-01,-5.06e-01
LOC339529,8.07e-02,-2.66e-01
EXOC3,1.05e-01,-2.23e-01
HNRPLL,7.27e-02,1.82e-01
C20orf96,1.04e-01,3.46e-01
NR2F6,1.39e-01,-3.52e-01
HAS1,6.80e-02,-1.82e-01
SREK1IP1,6.41e-02,1.70e-01
DCAF7,6.63e-02,2.18e-01
COG7,8.10e-02,-2.44e-01
BST2,1.45e-01,8.70e-01
ZNFX1,8.93e-02,1.50e-01
CD24,2.01e-01,1.81
PRPH2,1.44e-01,-2.74e-01
IQGAP3,6.78e-02,-1.51e-01
PAK3,1.60e-01,-7.21e-01
IKBKAP,6.31e-02,-1.69e-01
CEP95,1.16e-01,5.07e-01
NECAB2,1.59e-01,-3.70e-01
C1QL1,8.20e-02,-3.56e-01
LOC388152,6.79e-02,-2.12e-01
IGLL1,2.05e-01,1.95
RPSA,7.31e-02,2.49e-01
LPXN,9.15e-02,3.86e-01
CDR2,9.99e-02,2.25e-01
SLC4A10,1.97e-01,-7.87e-01
LOC399900,7.26e-02,-2.72e-01
LMF2,6.15e-02,-1.44e-01
NME7,1.28e-01,2.53e-01
TRH,2.95e-01,-3.34e-01
MIER3,6.84e-02,2.19e-01
LOC440925,7.14e-02,-1.19e-01
IL1R1,1.29e-01,8.23e-01
PRAMEL,6.22e-02,-1.41e-01
CYP2C18,1.52e-01,-2.37e-01
EBF1,2.32e-01,2.67e-01
C16orf59,1.02e-01,-2.79e-01
ZBTB8B,6.91e-02,1.39e-01
GPRASP2,1.83e-01,-6.34e-01
RNF41,1.34e-01,-6.77e-01
LOC100287225,7.57e-02,-1.69e-01
PDZD11,8.69e-02,3.93e-01
GH2,6.94e-02,2.38e-01
C7orf60,1.23e-01,2.51e-01
MDH1,1.97e-01,-6.51e-01
BRD3,7.62e-02,-2.94e-01
FAM35A,7.64e-02,1.46e-01
ALPPL2,9.23e-02,3.14e-01
IDE,8.92e-02,2.47e-01
TSFM,1.24e-01,2.26e-01
ANKH,1.20e-01,-3.48e-01
LOC100134237,1.07e-01,3.31e-01
ICAM5,2.12e-01,-5.09e-01
SYN1,1.74e-01,-6.30e-01
PKDCC,1.00e-01,-4.01e-01
LOC728743,1.94e-01,-3.84e-01
C18orf19,6.99e-02,-2.28e-01
ZC3HAV1,7.83e-02,2.11e-01
KIAA0232,9.77e-02,2.26e-01
DRD1,1.38e-01,-3.19e-01
UNC79,1.08e-01,-2.54e-01
MSH3,7.19e-02,2.11e-01
PFDN5,6.92e-02,2.13e-01
STX18,7.98e-02,-2.83e-01
PP14571,8.59e-02,-2.85e-01
PDCD6IP,1.16e-01,2.99e-01
GSG1,8.35e-02,-1.43e-01
OR1M1,7.56e-02,-2.31e-01
CHMP6,6.95e-02,-2.14e-01
LOC643988,1.88e-01,-4.89e-01
EXOSC6,8.14e-02,-3.48e-01
ZNF570,9.01e-02,2.34e-01
LOC286382,1.62e-01,2.89e-01
SUGP1,6.31e-02,-1.46e-01
SERPINB9,1.29e-01,-6.60e-01
TMEM55A,1.32e-01,-2.76e-01
URM1,1.01e-01,-2.46e-01
KALRN,3.08e-01,-9.10e-01
SP5,1.41e-01,-2.09e-01
POU5F1,7.14e-02,2.34e-01
LTC4S,1.35e-01,3.77e-01
PLEKHG2,1.04e-01,5.57e-01
IFT20,7.45e-02,2.40e-01
KRTAP10-12,7.31e-02,-2.33e-01
TLE4,9.88e-02,2.97e-01
SCD,1.37e-01,-6.45e-01
TRDMT1,6.58e-02,1.41e-01
C3orf23,6.43e-02,-1.70e-01
ZMYND15,1.12e-01,3.75e-01
AMOTL2,1.83e-01,-7.13e-01
PRODH,1.39e-01,-3.89e-01
MAPK9,1.13e-01,-2.77e-01
SLC29A4,1.17e-01,-1.98e-01
ZNF709,7.34e-02,-1.54e-01
REXO1L1,9.30e-02,-2.04e-01
C9orf169,7.54e-02,-3.04e-01
PTPN20B,2.06e-01,-4.03e-01
VSNL1,3.01e-01,-1.17
LXN,1.46e-01,3.64e-01
SIX5,9.61e-02,4.08e-01
KLF3,7.46e-02,2.94e-01
AKR1C1,2.72e-01,3.36e-01
SPATA13,1.72e-01,6.52e-01
KRT73,6.56e-02,-1.93e-01
LOC100131034,7.15e-02,-1.79e-01
MORN4,1.58e-01,-4.44e-01
CAPN1,1.41e-01,-3.20e-01
SNRNP40,1.06e-01,-2.63e-01
COPG2IT1,2.63e-01,5.63e-01
LOC155060,1.01e-01,-4.41e-01
FAM122B,7.38e-02,-2.05e-01
NEUROD6,8.86e-02,-4.29e-01
TRPC1,1.01e-01,-4.29e-01
C9orf11,8.25e-02,-2.39e-01
HSD17B14,9.29e-02,4.36e-01
HS3ST6,7.20e-02,-2.42e-01
VPS39,7.83e-02,-2.53e-01
MRPS34,7.98e-02,-2.15e-01
TCHHL1,7.23e-02,-2.30e-01
LLPH,7.36e-02,1.96e-01
SDCCAG8,1.29e-01,2.48e-01
TRHDE,8.62e-02,-1.48e-01
ZNF556,1.29e-01,-2.32e-01
ANKRD20A9P,8.23e-02,-3.47e-01
SEMG2,6.46e-02,-1.62e-01
RAB8B,1.05e-01,3.12e-01
AICDA,7.25e-02,-1.51e-01
DHTKD1,9.58e-02,-2.69e-01
GABRB2,3.16e-01,-8.04e-01
MTIF2,1.16e-01,2.76e-01
SENP1,6.43e-02,1.60e-01
HSD11B1L,1.56e-01,-4.15e-01
SIGLEC14,8.82e-02,4.04e-01
ARID5A,1.50e-01,4.05e-01
ZNF536,1.54e-01,-7.73e-01
NPHP3,1.83e-01,4.65e-01
DENND3,1.05e-01,5.94e-01
AP1M2,6.56e-02,-1.26e-01
C2orf69,8.44e-02,-3.02e-01
SLITRK3,2.04e-01,-5.11e-01
ERCC3,6.92e-02,-2.07e-01
AP1S1,1.35e-01,-4.82e-01
C11orf93,7.54e-02,2.77e-01
LOC400622,9.17e-02,-4.57e-01
KIAA1244,9.26e-02,-3.77e-01
ANO1,1.64e-01,-2.19e-01
C11orf34,7.39e-02,-2.41e-01
RLTPR,1.23e-01,-3.48e-01
KLRG2,8.47e-02,3.84e-01
CCDC9,2.33e-01,-2.43e-01
VIT,1.38e-01,-1.95e-01
MAN1A2,7.75e-02,2.27e-01
G6PC,1.60e-01,-2.20e-01
PRDM8,7.41e-02,-2.45e-01
NKX2-3,6.26e-02,-1.32e-01
KTN1,1.48e-01,5.76e-01
RNF165,8.37e-02,-2.35e-01
AFF3,1.03e-01,-2.35e-01
PDE10A,2.49e-01,-2.29e-01
NRM,8.32e-02,3.41e-01
SLC5A9,6.32e-02,1.27e-01
UQCRH,1.55e-01,-5.60e-01
MDFI,1.95e-01,1.00
TMEM102,6.49e-02,1.51e-01
FAM19A2,2.09e-01,-7.55e-01
HSCB,1.97e-01,-4.58e-01
PXDNL,6.38e-02,-1.43e-01
CCDC47,8.14e-02,2.43e-01
TBC1D10C,2.98e-01,4.55e-01
GOLGA6L9,9.33e-02,2.55e-01
INTS4,8.71e-02,2.55e-01
STIM1,1.21e-01,3.47e-01
HSPA5,1.22e-01,6.83e-01
SLC17A2,9.66e-02,-1.60e-01
WHSC1L1,1.04e-01,2.27e-01
ANK1,3.01e-01,-3.52e-01
GPRIN3,9.26e-02,3.93e-01
CDC42EP4,1.45e-01,3.91e-01
SERPINB6,9.76e-02,4.10e-01
LEF1,1.79e-01,2.88e-01
ZZEF1,7.39e-02,-2.74e-01
C16orf62,1.10e-01,-3.74e-01
DNAJC16,7.82e-02,-2.89e-01
ANKRD20A2,1.26e-01,2.99e-01
TAS2R30,1.85e-01,3.53e-01
OR52N5,9.04e-02,-1.35e-01
SLC25A11,1.08e-01,-5.97e-01
ZBTB8OS,7.11e-02,-2.08e-01
L2HGDH,6.43e-02,-1.57e-01
CRAMP1L,6.65e-02,-1.78e-01
INCENP,9.18e-02,-3.12e-01
C1orf190,1.13e-01,-3.46e-01
CDYL,9.65e-02,1.80e-01
PHACTR4,8.36e-02,-2.26e-01
POLE3,9.02e-02,-1.64e-01
LOC100131381,7.08e-02,-1.71e-01
GPRASP1,1.67e-01,-4.53e-01
MMACHC,9.05e-02,2.89e-01
NONO,7.79e-02,2.31e-01
AUP1,9.01e-02,-3.34e-01
HILPDA,3.19e-01,5.42e-01
EFHD1,9.86e-02,-5.05e-01
CSMD3,1.65e-01,-3.09e-01
LOC100131490,7.50e-02,-2.82e-01
RAB27B,1.28e-01,-4.70e-01
ACCN1,1.86e-01,-6.13e-01
MORC3,7.92e-02,2.30e-01
MAP7,1.58e-01,-5.29e-01
ZDHHC22,1.84e-01,-9.79e-01
TBC1D2,1.71e-01,-6.17e-01
TAF1,1.09e-01,2.21e-01
FAM63B,7.67e-02,1.96e-01
FAM184A,8.46e-02,2.47e-01
PRLR,6.42e-02,-1.29e-01
FDPSL2A,1.29e-01,-3.00e-01
LOC644093,6.73e-02,-1.84e-01
DEFB104B,6.44e-02,1.43e-01
BCL11B,2.36e-01,-3.44e-01
FLJ43390,7.78e-02,-2.68e-01
LOC100127991,6.53e-02,-1.63e-01
CHD4,1.11e-01,3.17e-01
SNX6,9.99e-02,-4.34e-01
LOC100130193,6.90e-02,1.56e-01
USP10,1.13e-01,2.15e-01
C4orf22,1.40e-01,-4.62e-01
PRR22,8.93e-02,-3.43e-01
PLEKHG5,2.08e-01,-3.93e-01
CDK5RAP1,7.08e-02,-2.29e-01
SLC35E1,1.10e-01,2.51e-01
CALM3,2.23e-01,-4.90e-01
TPM2,2.10e-01,3.45e-01
PDK4,1.22e-01,7.41e-01
FJX1,1.58e-01,3.73e-01
MAP2,1.97e-01,-5.03e-01
EFHB,6.58e-02,-1.54e-01
PYCR1,1.64e-01,3.45e-01
FAM179B,8.62e-02,-2.82e-01
LOC729678,1.02e-01,-3.01e-01
PRSS1,6.72e-02,-1.65e-01
LOC100130152,8.99e-02,2.56e-01
VSTM2L,2.69e-01,-6.99e-01
RBM15B,7.12e-02,1.80e-01
LOC100507465,6.91e-02,-1.63e-01
ZMAT4,2.96e-01,-7.04e-01
IDO1,7.32e-02,2.39e-01
HLA-A,1.02e-01,3.23e-01
SRP19,9.21e-02,3.00e-01
ADCY9,1.79e-01,3.04e-01
HEATR5A,9.03e-02,-3.61e-01
